age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,roledepartament,numberchildren,remotework,fin
46,No,,1582.77,,3,3,Life Sciences,52,3,F,3,4, manager ,2,,"12783,92$",33238.2,8,No,12,"3,0",4,Full Time,1,"23,0",2,"4,0",13,,5,1,1977,"153407,07$",,,Yes,2023
35,Yes,travel_rarely,1063.32,,10,3,Medical,53,4,M,2,3, sales executive ,1,Married,"8588,33$",22329.67,9,,17,"3,0",3,,0,"15,0",3,,13,,6,0,1988,"8588,33$8588,33$8588,33$8588,33$8588,33$8588,33$8588,33$8588,33$8588,33$8588,33$8588,33$8588,33$",,,No,2023
43,No,,1973.98,,6,3,Medical,54,1,F,2,5, manager ,3,Married,"15943,72$",41453.67,7,No,13,"3,0",4,,0,"21,0",2,"3,0",16,,6,14,1980,"15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$",,,Yes,2023
56,No,non-travel,556.26,,1,4,Life Sciences,55,3,M,3,2, healthcare representative ,3,Divorced,"4492,84$",11681.39,1,No,21,,1,,1,,2,"2,0",13,,1,9,1967,"4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$",,,Yes,2023
36,No,non-travel,557.76,,15,4,Marketing,56,4,M,1,2, sales executive ,4,Divorced,"4505,00$",11713.0,1,No,24,"4,0",1,Full Time,1,,4,"2,0",15,,11,11,1987,"54060,00$",,,Yes,2023
38,No,,556.26,,6,3,Medical,57,2,F,1,2, research scientist ,4,,,11681.39,7,,12,"3,0",4,Part Time,3,"17,0",3,"3,0",13,,1,9,1985,"53914,11$",,,Yes,2023
49,No,,556.26,,26,4,Medical,58,3,F,3,2, manufacturing director ,1,,,11681.39,1,No,14,"3,0",3,Part Time,0,"16,0",2,"2,0",15,,5,11,1974,"53914,11$",,,No,2023
39,No,travel_rarely,608.94,,4,4,Life Sciences,59,4,F,2,2, sales executive ,3,Married,"4918,33$",12787.67,4,,14,"3,0",3,Full Time,1,"17,0",1,"4,0",15,,5,9,1984,"59020,00$",,,Yes,2023
40,No,,1119.96,,4,4,,60,3,M,2,3, sales executive ,4,Married,,23519.17,7,No,11,,1,Full Time,1,"15,0",2,"2,0",12,,2,11,1983,"108550,00$",,,Yes,2023
36,No,,610.17,,5,2,,61,4,M,3,2, laboratory technician ,2,Single,"4928,33$",12813.67,8,No,16,"3,0",4,Full Time,0,"16,0",3,"4,0",13,,3,7,1987,"59140,00$",,,Yes,2023
37,No,,556.26,,25,5,,62,2,F,3,2, research scientist ,3,Married,,11681.39,3,Yes,15,"3,0",1,,2,"15,0",2,"3,0",13,,10,7,1986,"53914,11$",,,No,2023
35,No,,685.7,,6,4,,63,2,M,1,2, research scientist ,4,,"5538,33$",14399.67,1,,13,"3,0",2,Full Time,0,,3,"3,0",17,,11,8,1988,"66460,00$",,,Yes,2023
33,No,travel_frequently,556.26,,6,3,Life Sciences,64,3,M,3,2, healthcare representative ,4,Divorced,"4492,84$",11681.39,3,No,23,"4,0",3,Part Time,1,"15,0",2,"1,0",13,,4,7,1990,"53914,11$",,,No,2023
50,No,travel_rarely,1441.66, Research & Development ,24,3,,65,4,M,3,4, manufacturing director ,3,Married,,30274.83,3,Yes,18,"3,0",4,Full Time,1,"22,0",2,"3,0",12,,1,5,1973,"139730,00$", ManufactUrINg DiReCTOr  -  Research & Development ,,No,2023
48,No,travel_rarely,1032.49,,4,4,,66,3,M,2,3, healthcare representative ,3,Single,,21682.23,7,,14,,2,Part Time,0,"27,0",3,"3,0",15,"11,0",4,8,1975,"100071,84$",,,Yes,2023
44,No,travel_rarely,1374.29, Sales ,28,3,,67,4,F,4,4, sales executive ,4,Married,"11100,00$",28860.0,3,,18,"3,0",3,,1,,2,"3,0",12,,11,11,1979,"11100,00$11100,00$11100,00$11100,00$11100,00$11100,00$11100,00$11100,00$11100,00$11100,00$11100,00$11100,00$", SaleS eXEcUtIVE  -  Sales ,,Yes,2023
44,No,travel_rarely,556.26,,29,4,,68,4,M,3,2, research scientist ,4,Single,,11681.39,1,,25,"4,0",2,Part Time,0,,3,"3,0",20,,13,17,1979,"53914,11$",,,Yes,2023
40,No,,556.26,,25,1,,69,25,F,4,2, healthcare representative ,3,,,11681.39,5,No,20,"4,0",2,Part Time,3,"15,0",0,"3,0",12,,11,8,1983,"53914,11$",,,Yes,2023
34,No,travel_rarely,689.93,,2,4,,70,3,F,3,2, healthcare representative ,4,Single,"5572,50$",14488.5,1,,11,"3,0",4,Full Time,0,"14,0",2,"4,0",14,,4,11,1989,"66870,00$",,,Yes,2023
35,No,non-travel,556.26, Research & Development ,8,4,,71,3,F,3,2, healthcare representative ,3,,"4492,84$",11681.39,1,,12,"3,0",4,Part Time,1,,5,"3,0",14,,2,9,1988,"53914,11$", HEaLthcaRe rEprEsEnTAtiVe  -  Research & Development ,,Yes,2023
50,No,,1032.49,,17,5,Life Sciences,72,4,F,2,3, research director ,1,,,21682.23,5,No,15,"3,0",3,Part Time,3,,3,"3,0",14,"11,0",1,11,1973,"100071,84$",,,No,2023
49,No,,1582.77,,6,1,Life Sciences,73,3,F,2,4, healthcare representative ,3,,"12783,92$",33238.2,2,,19,"3,0",2,Full Time,1,,3,"3,0",15,,2,12,1974,"153407,07$",,,Yes,2023
38,No,travel_frequently,488.53,,1,3,Life Sciences,74,4,M,3,2, research scientist ,4,,,10259.17,7,No,15,"3,0",4,Part Time,2,"19,0",4,,13,,2,9,1985,"47350,00$",,,Yes,2023
33,No,,290.04,,21,3,,75,2,M,4,1, laboratory technician ,2,,,6090.75,1,No,18,"3,0",4,Part Time,3,"14,0",6,,14,,2,13,1990,"28111,13$",,,Yes,2023
47,No,travel_rarely,1032.49,,4,3,Life Sciences,76,3,F,2,3, manufacturing director ,2,Divorced,"8339,32$",21682.23,8,Yes,12,,3,Part Time,1,,4,"3,0",22,,14,10,1976,"100071,84$",,,Yes,2023
38,No,,556.26, Research & Development ,8,3,,77,4,F,2,2, research scientist ,2,Divorced,"4492,84$",11681.39,1,,16,"3,0",3,,1,"20,0",3,"3,0",20,,0,7,1985,"4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$", rESeArCH sCientIST  -  Research & Development ,,No,2023
37,No,travel_rarely,1032.49,,10,3,Life Sciences,78,3,F,4,3, research director ,4,,"8339,32$",21682.23,1,Yes,25,"4,0",1,Part Time,1,"16,0",2,"3,0",16,,6,8,1986,"100071,84$",,,Yes,2023
30,No,,556.26,,2,3,,79,3,M,2,2, healthcare representative ,4,Married,,11681.39,1,No,19,,1,Part Time,3,"11,0",3,"3,0",11,,10,8,1993,"53914,11$",,,Yes,2023
58,No,travel_rarely,1431.24,,18,4,,80,4,M,3,4, sales executive ,3,Single,"11560,00$",30056.0,0,,13,"3,0",3,Full Time,0,"38,0",1,"2,0",37,,1,8,1965,"138720,00$",,,Yes,2023
34,No,travel_rarely,1032.49,,5,3,,81,3,F,2,3, manager ,1,Single,"8339,32$",21682.23,2,,12,"3,0",4,,0,"14,0",6,"3,0",11,,5,8,1989,"8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$",,,No,2023
58,Yes,travel_rarely,1032.49,,23,4,Medical,82,4,F,3,3, healthcare representative ,4,Married,"8339,32$",21682.23,1,,12,"3,0",4,Part Time,1,"40,0",3,"2,0",40,,15,6,1965,"100071,84$",,,Yes,2023
38,No,,1032.49,,3,3,Life Sciences,83,1,M,3,3, sales executive ,3,Divorced,"8339,32$",21682.23,0,,12,"3,0",3,,2,,6,"2,0",16,,5,13,1985,"8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$",,,Yes,2023
29,No,travel_frequently,1032.49,,1,1,,84,2,F,3,3, sales executive ,4,Married,"8339,32$",21682.23,1,,14,"3,0",4,Part Time,1,"11,0",5,"3,0",11,,4,1,1994,"100071,84$",,,Yes,2023
55,No,travel_rarely,1964.96,,1,3,Medical,85,4,M,3,5, manager ,1,Single,"15870,83$",41264.17,0,,14,"3,0",3,Full Time,0,"37,0",2,"3,0",36,,4,13,1968,"190450,00$",,,Yes,2023
41,No,,1652.34,,10,4,,86,4,M,3,4, manager ,2,,"13345,83$",34699.17,1,,19,"3,0",2,,0,,2,"3,0",22,,0,4,1982,"13345,83$13345,83$13345,83$13345,83$13345,83$13345,83$13345,83$13345,83$13345,83$13345,83$13345,83$13345,83$",,,Yes,2023
39,No,travel_rarely,991.82, Research & Development ,1,3,,87,3,M,4,3, healthcare representative ,4,,"8010,83$",20828.17,0,No,17,,1,Part Time,3,"19,0",5,"2,0",18,,3,7,1984,"96130,00$", healTHCAre rePREseNtATiVE  -  Research & Development ,,No,2023
38,No,,1187.54,,15,2,Life Sciences,88,3,M,2,3, research director ,4,,,24938.33,0,,14,"3,0",2,Full Time,1,,3,"3,0",11,,2,9,1985,"115100,00$",,,Yes,2023
43,No,,1582.77,,12,3,,89,1,M,2,4, research director ,2,,"12783,92$",33238.2,1,No,11,"3,0",3,Full Time,1,,3,,25,,3,9,1980,"153407,07$",,,Yes,2023
31,No,,444.27,,30,2,,90,2,F,3,2, manufacturing director ,1,Married,"3588,33$",9329.67,1,No,12,"3,0",2,,1,"13,0",5,"1,0",13,,3,12,1992,"3588,33$3588,33$3588,33$3588,33$3588,33$3588,33$3588,33$3588,33$3588,33$3588,33$3588,33$3588,33$",,,Yes,2023
50,No,travel_rarely,1758.71, Research & Development ,27,4,Life Sciences,91,27,M,2,4, manager ,3,Married,"14205,00$",36933.0,0,No,15,"3,0",2,Full Time,1,"28,0",2,"3,0",27,,15,7,1973,"170460,00$", mANaGer  -  Research & Development ,,Yes,2023
35,No,,1032.49,,25,3,Technical Degree,92,4,M,2,3, manufacturing director ,2,Married,"8339,32$",21682.23,3,No,16,,1,Part Time,0,,2,"3,0",13,,4,8,1988,"100071,84$",,,No,2023
47,No,,522.79,,16,4,,93,3,M,4,2, manufacturing director ,3,,"4222,50$",10978.5,1,Yes,19,"3,0",3,,0,"20,0",3,,19,,2,7,1976,"4222,50$4222,50$4222,50$4222,50$4222,50$4222,50$4222,50$4222,50$4222,50$4222,50$4222,50$4222,50$",,,Yes,2023
35,No,,1032.49, Research & Development ,25,4,,94,3,F,3,3, healthcare representative ,3,Divorced,"8339,32$",21682.23,1,Yes,11,,3,Part Time,1,,3,"2,0",16,,10,1,1988,"100071,84$", HEAltHCaRe REPreseNTatIve  -  Research & Development ,,Yes,2023
40,No,travel_rarely,1032.49,,20,4,,95,1,M,3,3, healthcare representative ,4,Married,,21682.23,4,,20,"4,0",4,Part Time,1,"14,0",6,"3,0",11,,11,1,1983,"100071,84$",,,Yes,2023
45,No,,556.26, Sales ,9,4,Life Sciences,96,2,F,2,2, sales executive ,3,Married,"4492,84$",11681.39,1,,13,"3,0",4,Part Time,1,"15,0",2,"3,0",15,,4,12,1978,"53914,11$", SaLeS eXECUTivE  -  Sales ,,No,2023
33,No,,290.04, Research & Development ,9,3,Medical,97,1,M,3,1, research scientist ,4,Married,,6090.75,0,,13,"3,0",2,,1,"15,0",5,"3,0",14,,4,10,1990,"28111,13$", reSeARCH SCIEnTiST  -  Research & Development ,,No,2023
36,No,travel_frequently,380.92,,3,3,,98,3,M,3,1, research scientist ,2,Married,"3076,67$",7999.33,1,No,12,"3,0",3,Full Time,0,"12,0",2,"2,0",11,,0,7,1987,"36920,00$",,,No,2023
45,Yes,,1973.98,,13,3,Marketing,99,1,F,1,5, manager ,2,,"15943,72$",41453.67,2,Yes,16,"3,0",1,Full Time,0,"26,0",2,"3,0",24,,1,11,1978,"191324,62$",,,Yes,2023
51,No,travel_frequently,2047.71,,27,3,,100,27,M,3,5, manager ,2,,,43001.83,4,Yes,24,,1,Full Time,1,,5,"2,0",29,,11,10,1972,"198470,00$",,,No,2023
34,No,travel_rarely,238.13,,7,2,Technical Degree,101,2,M,3,1, sales representative ,3,,,5000.67,0,Yes,25,"4,0",2,Part Time,1,"12,0",4,"3,0",11,,5,7,1989,"23080,00$",,,No,2023
43,No,travel_rarely,1582.77, Research & Development ,15,2,,102,3,M,2,4, research director ,3,,,33238.2,1,No,24,"4,0",1,Full Time,1,,3,"3,0",14,,6,11,1980,"153407,07$", ReSearch DiRecTOR  -  Research & Development ,,Yes,2023
34,No,,556.26,,5,2,Medical,103,2,M,2,2, laboratory technician ,4,,"4492,84$",11681.39,1,No,14,"3,0",3,Part Time,1,,3,,15,,4,13,1989,"53914,11$",,,No,2023
38,No,,290.04,,2,3,,104,1,M,3,1, human resources ,2,Divorced,"2342,59$",6090.75,5,No,13,"3,0",4,Part Time,3,"13,0",3,"3,0",11,,3,8,1985,"28111,13$",,,Yes,2023
48,No,,1973.98,,10,3,,105,4,M,2,5, research director ,2,,,41453.67,4,No,12,"3,0",4,Full Time,0,"29,0",3,"3,0",22,,12,9,1975,"191324,62$",,,No,2023
34,No,,592.94, Research & Development ,22,4,Other,106,3,M,2,2, research scientist ,4,Married,"4789,17$",12451.83,1,Yes,15,"3,0",2,Full Time,0,"16,0",3,"3,0",15,,6,11,1989,"57470,00$", resEaRCh SciEnTist  -  Research & Development ,,No,2023
32,No,travel_rarely,1075.29,,31,4,,107,31,F,3,3, sales executive ,4,,"8685,00$",22581.0,1,No,19,"3,0",3,Full Time,2,"14,0",3,"3,0",14,,5,7,1991,"104220,00$",,,Yes,2023
29,No,travel_rarely,1032.49,,21,4,Life Sciences,108,2,F,4,3, manufacturing director ,1,Divorced,"8339,32$",21682.23,1,No,11,"3,0",3,,1,"10,0",1,"3,0",10,,8,8,1994,"8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$",,,No,2023
46,No,,1032.49,,1,3,Medical,109,3,M,2,3, healthcare representative ,1,Married,,21682.23,2,Yes,13,"3,0",3,,1,"21,0",5,"2,0",10,,9,5,1977,"100071,84$",,,No,2023
30,No,,654.85, Human Resources ,9,3,,110,3,M,3,2, human resources ,4,Married,"5289,17$",13751.83,0,Yes,19,"3,0",4,Full Time,0,,2,"1,0",11,,4,7,1993,"63470,00$", hUmaN REsoUrCes  -  Human Resources ,,No,2023
45,No,,242.25,,9,3,Life Sciences,111,2,M,3,2, laboratory technician ,2,,"1956,67$",5087.33,8,No,18,"3,0",3,Part Time,1,"20,0",2,,17,,0,15,1978,"23480,00$",,,Yes,2023
30,No,travel_rarely,1032.49,,5,3,,112,2,F,3,3, sales executive ,4,,"8339,32$",21682.23,2,No,12,"3,0",3,Part Time,1,,2,"3,0",10,,7,4,1993,"100071,84$",,,Yes,2023
